rb_voltage,rb_current,Total_kW,IVT_temp,Output_Power_kW,Efficiency
680.2,35.4,24.08,36.5,24.07908,99.99617940199337
682.1,36.0,24.56,36.8,24.555600000000002,99.98208469055376
685.3,36.8,25.22,37.2,25.219039999999996,99.99619349722441
688.0,37.5,25.8,37.6,25.8,100.0
690.5,38.2,26.38,38.0,26.377100000000002,99.98900682335103
692.3,38.9,26.93,38.4,26.930469999999996,100.00174526550313
694.8,39.5,27.44,38.8,27.444599999999998,100.01676384839648
696.2,40.0,27.85,39.2,27.848,99.9928186714542
698.1,40.5,28.27,39.5,28.273049999999998,100.01078882207285
699.5,40.2,28.12,39.3,28.1199,99.99964438122333
697.8,39.8,27.78,39.0,27.772439999999996,99.9727861771058
695.2,39.2,27.27,38.7,27.251840000000005,99.93340667400076
693.4,38.5,26.7,38.3,26.695899999999998,99.98464419475656
691.6,37.8,26.14,37.9,26.14248,100.00948737566947
689.2,37.0,25.5,37.5,25.500400000000003,100.001568627451
687.5,36.5,25.1,37.1,25.09375,99.97509960159363
685.8,36.0,24.69,36.7,24.6888,99.99513973268529
684.0,35.5,24.28,36.3,24.282,100.00823723228996
682.5,35.0,23.88,36.0,23.8875,100.03140703517587
681.0,34.5,23.5,35.7,23.4945,99.97659574468084
683.2,35.2,24.05,36.2,24.048640000000002,99.99434511434512
685.5,36.2,24.82,36.6,24.8151,99.98025785656729
688.3,37.2,25.6,37.0,25.604760000000002,100.01859375
690.8,38.0,26.25,37.5,26.2504,100.0015238095238
693.0,38.8,26.89,37.9,26.888399999999997,99.99404983265153
695.5,39.5,27.47,38.3,27.47225,100.00819075354931
697.0,39.9,27.81,38.7,27.810299999999998,100.00107874865157
698.5,40.3,28.15,39.0,28.149549999999998,99.99840142095915
699.8,40.6,28.4,39.3,28.411879999999996,100.04183098591548
700.0,40.8,28.56,39.5,28.559999999999995,99.99999999999999
