rb_voltage,rb_current,Total_kW,IVT_temp
680.2,35.4,24.08,36.5
682.1,36.0,24.56,36.8
685.3,36.8,25.22,37.2
688.0,37.5,25.80,37.6
690.5,38.2,26.38,38.0
692.3,38.9,26.93,38.4
694.8,39.5,27.44,38.8
696.2,40.0,27.85,39.2
698.1,40.5,28.27,39.5
699.5,40.2,28.12,39.3
697.8,39.8,27.78,39.0
695.2,39.2,27.27,38.7
693.4,38.5,26.70,38.3
691.6,37.8,26.14,37.9
689.2,37.0,25.50,37.5
687.5,36.5,25.10,37.1
685.8,36.0,24.69,36.7
684.0,35.5,24.28,36.3
682.5,35.0,23.88,36.0
681.0,34.5,23.50,35.7
683.2,35.2,24.05,36.2
685.5,36.2,24.82,36.6
688.3,37.2,25.60,37.0
690.8,38.0,26.25,37.5
693.0,38.8,26.89,37.9
695.5,39.5,27.47,38.3
697.0,39.9,27.81,38.7
698.5,40.3,28.15,39.0
699.8,40.6,28.40,39.3
700.0,40.8,28.56,39.5
